Date,Day of Week,Whoop Recovery,HRV,Hours of Sleep,Body Weight,Body Fat %,Body Water %,Hydration Score (urine),Sick Feeling,Soreness/Fatigue Score,Fitness Rating,Positivity Score (1-10),Confidence Score,Caffeine in mg,Water Before Coffee?,Breakfast Before Coffee?,Devo Quality (1-10),Game?,Lift?,Protein Shake?,Fun Rating,Family Love Rating,Tired Rating,Strain,Alcohol (# of Drinks),CBD (mg),Melatonin,Thought of the Day,Game Notes,Current BA
5/7/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
